11,73	35,88	30
12,62	28,63	56,12
12,89	29,6	65,77
11,5	30,01	30
13,49	31,36	75
11,91	31,62	30
12,59	34,93	52,38
11,92	26,07	9,12
12,43	30,08	47,97
13,33	33,06	75
12,95	33,81	68,48
11,92	31,65	30
12,87	32,46	62,28
13,09	35,96	75
12,42	26,62	46,12
13,2	31,81	75
13,31	34,5	75
12,81	32,88	59,52
13,31	33,39	75
11,53	26,16	9,75
11,5	29,65	28,88
12,58	29,68	53,71
12,9	30,38	64,27
13,34	29,48	76,71
11,66	29,25	27,51
13,41	32,09	75
12,73	27,21	60,95
13,41	29,16	77,76
13,13	30,83	75
13,27	26,35	89,66
12,66	34,09	54,32
12,78	33,76	58,2
12,27	29,11	39,48
12,63	27,37	56,44
12,76	28,39	62,44
12,05	26,45	22,77
12,98	33,09	71,5
13,45	33,25	75
11,83	28,76	25,73
12,75	33,13	57,1
12,59	30,57	52,45
12,43	29,65	46,66
11,81	29,29	27,51
11,8	27,66	21,72
12,16	31,4	39,53
12,06	34,79	34,41
12,11	32,06	37,44
12,43	35,36	47,95
12,76	35,05	57,48
12,55	30,11	51,46
13,31	28,41	79,98
11,96	35,15	30
12,01	34,48	30,83
12,31	34,12	44,92
12,03	35,51	32,16
12,09	30,85	36,3
13,07	29,69	76,23
13,04	29,12	78,38
12,03	29,91	32,05
11,87	26,09	9,39
12,71	34,45	55,9
12,15	27,35	32,53
13,24	34,51	75
11,76	33,39	30
13,22	26,59	87,31
11,74	31,78	30
11,94	31,66	30
11,56	26,93	17,93
12,34	31,45	45,51
12,86	30,67	61,78
12,93	34,58	66,7
11,74	29,34	27,78
13,25	29,55	76,55
12,12	27,87	30,95
11,91	30,51	30
11,67	34,56	30
12,05	26,54	24,22
13,44	34,68	75
12,86	29,85	62,39
12,85	30,8	61,42
12,52	35,13	50,55
12,1	29,82	35,79
13,09	35,5	75
12,45	30,44	48,66
12,34	28,68	42,64
11,64	35,87	30
12,71	26,87	59,94
13	28,49	80,23
12,44	35,36	48,43
11,94	33,82	30
13	30,94	75
12,59	26,27	54
11,76	32,7	30
13,08	29,8	75,78
